,name,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,weekly_discount,monthly_discount,security_deposit_perc,cleaning_fee_perc,guests_included,extra_people_perc,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price
5284,Modern Home in Leafy Parkland.  Bedroom 2.,,t,3,3,t,-33.79735,151.15591,f,House,Private room,2,3.0,1.0,1.0,Real Bed,,,,0.0,12.0,1,12,2,21,2,2,21,21,2.0,21.0,0,0,24,37,25,5,98.0,10.0,10.0,10.0,10.0,9.0,10.0,f,t,f,flexible,f,f,3,0,3,0,0.57,$81.00
4373,Tamarama Bondi Beachside Studio,100%,f,1,1,t,-33.898990000000005,151.27145,t,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,0.0,9.688013136,21.455938699999997,144.0,69.0,1,0,2,30,2,2,30,30,2.0,30.0,30,58,88,301,69,19,93.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,1.03,$174.00
4829,City Fringe Stylish Cozy Apartment in Sydney CBD,90%,f,2,2,f,-33.90852,151.20905,t,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,,,,393.0,71.0,4,21,1,1125,1,1,1125,1125,1.0,1125.0,12,22,35,211,8,8,90.0,10.0,9.0,9.0,9.0,10.0,9.0,f,t,f,strict_14_with_grace_period,f,f,1,1,0,0,4.0,$140.00
8998,Modern private room in the heart of Sydney,,f,1,1,t,-33.86736,151.22541,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,49.0,1,14,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,130,2,0,80.0,8.0,8.0,9.0,9.0,9.0,7.0,f,f,f,strict_14_with_grace_period,f,f,1,0,1,0,0.06,$71.00
7895,Family Guest Room + Carpark Free,100%,f,5,5,f,-33.88604,151.20075,f,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,,,,0.0,111.0,1,0,1,15,1,1,15,15,1.0,15.0,9,36,61,152,0,0,,,,,,,,f,t,f,strict_14_with_grace_period,f,f,3,0,3,0,,$81.00
997,TAMARAMA OCEAN VIEW APARTMENT,100%,f,1,1,t,-33.898309999999995,151.2677,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,,,365.0,109.0,2,0,5,31,5,5,31,31,5.0,31.0,0,0,0,0,5,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.21,$137.00
7884,"Sunny, spacious room in Darlington shared terrace.",,f,1,1,t,-33.89158,151.19295,t,House,Private room,2,1.5,1.0,1.0,Real Bed,,,,,,1,0,6,30,6,6,30,30,6.0,30.0,0,0,0,0,2,0,90.0,9.0,8.0,10.0,10.0,10.0,9.0,f,f,f,flexible,f,f,1,0,1,0,0.11,$62.00
4891,Manly/Balgowlah Heights pool spa,0%,f,1,1,f,-33.80445,151.25966,t,House,Entire home/apt,6,3.0,3.0,3.0,Real Bed,,,,118.0,29.0,1,0,3,21,3,3,21,21,3.0,21.0,28,58,88,356,3,0,100.0,10.0,10.0,10.0,10.0,10.0,9.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.08,$850.00
1176,Private Room in Wolli Creek near CBD / Airport,100%,f,1,1,f,-33.932990000000004,151.15195,t,Apartment,Private room,1,2.0,2.0,1.0,Real Bed,,,,0.0,33.0,1,0,2,1125,2,2,1125,1125,2.0,1125.0,30,60,90,90,0,0,,,,,,,,f,t,f,moderate,f,f,1,0,1,0,,$75.00
551,An attractive family home in an idyllic setting,100%,f,1,1,f,-33.66548,151.29957,t,Bungalow,Entire home/apt,8,3.0,4.0,5.0,Real Bed,,,,143.0,21.0,1,0,2,6,2,2,6,6,2.0,6.0,25,48,74,225,9,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.21,$700.00
744,Room in the famous Newtown,,f,1,1,t,-33.89533,151.17401999999998,t,House,Private room,2,2.0,1.0,1.0,Real Bed,,,,,,1,0,185,365,185,185,365,365,185.0,365.0,0,0,0,0,3,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,0,1,0,0.1,$55.00
5371,A beautiful little house in Roselands,,f,1,1,f,-33.93602,151.06531,t,House,Entire home/apt,2,2.0,1.0,1.0,Real Bed,,,,,,1,0,2,21,2,2,21,21,2.0,21.0,0,0,0,0,1,0,,,,,,,,f,f,f,flexible,f,f,1,1,0,0,0.05,$120.00
5712,Rare find in the heart of Darlinghurst,,f,1,1,t,-33.878240000000005,151.22,t,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,,,,0.0,21.0,1,34,4,1125,4,4,1125,1125,4.0,1125.0,0,0,0,0,2,1,100.0,10.0,8.0,10.0,10.0,10.0,8.0,f,t,f,strict_14_with_grace_period,f,f,1,0,1,0,0.13,$146.00
2701,new 5Bed apartment in Camperdown perfect for group,,f,23,23,f,-33.88507,151.18046999999999,t,Apartment,Entire home/apt,5,2.0,3.0,5.0,Real Bed,,,,,,1,0,3,25,3,3,25,25,3.0,25.0,0,0,0,0,0,0,,,,,,,,f,t,f,strict_14_with_grace_period,f,f,7,7,0,0,,$200.00
2554,Master room in a bright and clean place,100%,t,4,4,f,-33.8729,151.19364,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,0.0,53.0,1,18,7,50,7,7,50,50,7.0,50.0,15,15,15,15,1,1,80.0,10.0,8.0,10.0,10.0,10.0,10.0,f,t,f,moderate,f,f,3,1,2,0,0.75,$85.00
8394,"Modern, 2Bed, Bondi Beach & parking",,f,1,1,f,-33.89172,151.26337,f,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,200.0,40.0,1,0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,0,0,,,,,,,,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,,$300.00
2574,Paddington Tree Tops Tranquility,,f,1,1,f,-33.88227,151.22688,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,8.204245554,19.67871486,321.0,40.0,1,0,7,1125,7,7,1125,1125,7.0,1125.0,0,0,0,0,0,0,,,,,,,,f,t,f,flexible,f,f,1,1,0,0,,$249.00
7971,Cozy dbl bedroom in spacious house in North Bondi,,f,1,1,f,-33.88487,151.27986,t,House,Private room,1,1.5,1.0,1.0,Real Bed,,,,0.0,0.0,1,0,6,14,6,6,14,14,6.0,14.0,30,60,90,113,4,4,100.0,10.0,9.0,9.0,10.0,10.0,9.0,f,t,f,strict_14_with_grace_period,f,f,1,0,1,0,0.6,$65.00
7342,5 minute walk to ferry and beach,,f,1,1,f,-33.80222,151.29007,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,2,1125,2,2,1125,1125,2.0,1125.0,29,59,89,179,0,0,,,,,,,,f,f,f,flexible,f,f,1,0,1,0,,$150.00
8562,Cronulla Beach Getaway,100%,f,2,2,t,-34.05032,151.14941000000002,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,0,2,1,80.0,10.0,9.0,10.0,10.0,9.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.07,$89.00
8438,Large Apartment next to Manly,100%,f,2,2,f,-33.79575,151.27535,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,,54.0,2,8,3,8,3,3,8,8,3.0,8.0,0,0,0,0,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,flexible,f,f,2,2,0,0,0.06,$120.00
2754,Kingsford 2beds appartment very close to unsw,,f,1,1,t,-33.91935,151.22488,f,Apartment,Private room,2,1.5,1.0,2.0,Real Bed,,,,,25.0,2,25,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,2,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,flexible,f,f,1,0,1,0,0.11,$81.00
5170,Convenient home in the centre of Chatswood,100%,f,3,3,t,-33.794740000000004,151.18657,t,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,,,,200.0,83.0,1,0,2,90,2,2,90,90,2.0,90.0,0,18,48,207,11,11,93.0,10.0,9.0,9.0,10.0,10.0,9.0,f,f,f,strict_14_with_grace_period,f,f,3,3,0,0,1.89,$150.00
4808,"Modern, Cosy and Central Room",,f,3,3,t,-33.888459999999995,151.21281000000002,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,294.0,74.0,1,0,5,1125,5,5,1125,1125,5.0,1125.0,0,0,0,0,2,0,80.0,10.0,10.0,8.0,10.0,10.0,9.0,f,f,f,moderate,f,f,3,2,1,0,0.06,$68.00
4803,Modern and sunny apartment in Mascot Central,,f,1,1,f,-33.921409999999995,151.18515,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,25.0,2,0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,4,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,flexible,f,f,1,0,1,0,0.14,$99.00
693,"Bright and spacious  2bedroom unit, close to Manly",100%,f,2,2,t,-33.78245,151.27938999999998,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,,,1,0,5,40,5,5,40,40,5.0,40.0,21,33,60,132,0,0,,,,,,,,f,f,f,moderate,f,f,2,2,0,0,,$114.00
4375,Modern One Bedroom One Study-Home Office Apartment,,f,1,1,t,-33.829370000000004,151.07578999999998,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,,,,190.0,62.0,3,19,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,4,0,80.0,10.0,9.0,9.0,10.0,9.0,9.0,f,f,f,flexible,f,f,1,1,0,0,0.18,$105.00
982,Master Bedroom with Own Ensuite,100%,t,3,3,t,-33.92944,151.1995,f,House,Private room,2,1.5,1.0,1.0,Real Bed,,,,0.0,30.0,1,51,1,1125,1,1,1125,1125,1.0,1125.0,30,60,84,353,30,16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,3,0,3,0,0.98,$99.00
9024,Engelen Moore designed 1 bedroom + parking,98%,f,27,27,f,-33.875640000000004,151.22612,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,251.0,50.0,2,0,2,90,2,2,90,90,2.0,90.0,0,0,0,0,0,0,,,,,,,,f,f,f,strict_14_with_grace_period,f,f,24,17,7,0,,$199.00
79,Central Surry Hills Apartment + Gym/Pool/Parking,,f,1,1,t,-33.8816,151.21675,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,2,2,2,2,2,2,2.0,2.0,0,0,0,0,2,0,90.0,9.0,5.0,6.0,8.0,10.0,10.0,f,t,f,flexible,f,f,1,1,0,0,0.11,$200.00
9034,One bedroom unit Sydney City + Parking*,100%,f,4,4,t,-33.91068,151.20694,f,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,176.0,47.0,2,12,100,1125,100,100,1125,1125,100.0,1125.0,29,59,89,179,7,0,87.0,10.0,9.0,7.0,10.0,9.0,9.0,f,f,f,moderate,f,f,3,2,1,0,0.22,$170.00
3034,#Wildlife Concept Bedroom,,f,1,1,t,-33.89221,151.15901000000002,t,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,,,,244.0,24.0,1,24,1,21,1,1,21,21,1.0,21.0,20,44,55,99,5,5,84.0,9.0,8.0,8.0,8.0,8.0,8.0,f,f,f,flexible,f,f,1,0,1,0,1.22,$82.00
9123,Comfy apartment close to Manly beach,,f,1,1,f,-33.79198,151.26269,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,1,20,1,1,20,20,1.0,20.0,0,0,0,0,0,0,,,,,,,,f,t,f,flexible,f,f,1,1,0,0,,$82.00
6312,"Large Apartment, 2 Parking Spots and Heated Pool",100%,f,5,5,f,-33.8833,151.19651000000002,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,,,130.0,90.0,3,91,1,1125,1,1,1125,1125,1.0,1125.0,20,40,56,307,3,3,87.0,7.0,8.0,9.0,10.0,10.0,9.0,f,t,f,strict_14_with_grace_period,f,f,5,5,0,0,1.96,$110.00
2935,Beach Apartment,,f,1,1,f,-33.90167,151.2546,f,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,,,1,0,5,21,5,5,21,21,5.0,21.0,0,0,0,0,1,0,80.0,10.0,10.0,8.0,10.0,10.0,10.0,f,f,f,flexible,f,f,1,1,0,0,0.05,$130.00
6703,Brand New Bondi Loft with Panoramic Views,100%,f,1,1,f,-33.887159999999994,151.28224,f,Loft,Entire home/apt,2,1.0,1.0,2.0,Real Bed,,,,,9.0,1,0,1,1125,1,1,1125,1125,1.0,1125.0,20,47,77,337,10,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,moderate,f,f,1,1,0,0,3.23,$220.00
9199,Cute and cozy - 4min walk to beach!,100%,f,1,1,t,-33.92017,151.2559,f,Apartment,Private room,1,1.0,1.0,0.0,Real Bed,,,,,,1,0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,23,23,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,flexible,f,f,1,0,1,0,7.11,$71.00
9165,MOSMAN HARBOUR VIEWS 2 BED PARKING,100%,f,36,36,t,-33.84024,151.23277,t,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,,,,0.0,147.0,1,0,7,1125,7,7,1125,1125,7.0,1125.0,0,0,5,79,10,1,96.0,10.0,9.0,10.0,9.0,10.0,9.0,f,f,f,strict_14_with_grace_period,f,f,36,36,0,0,0.18,$215.00
2142,Beautiful Bronte Beach Pad. Stunning views.,,f,1,1,t,-33.90455,151.26653000000002,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,,,,,33.0,2,13,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,2,0,90.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.06,$195.00
6083,city view apartment in erskineville,,f,1,1,t,-33.90532,151.18311,t,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,,46.18395303,54.33789954,103.0,27.0,1,0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,1,0,100.0,10.0,8.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.05,$146.00
2268,LUXICO - Balmoral Bluewater,96%,f,143,143,t,-33.83444,151.25683,t,House,Entire home/apt,8,4.0,5.0,5.0,Real Bed,,,,185.0,42.0,1,0,3,1125,3,5,1125,1125,3.4,1125.0,2,2,9,224,1,1,40.0,4.0,8.0,8.0,8.0,8.0,6.0,f,f,f,strict_14_with_grace_period,f,f,57,57,0,0,1.0,"$1,350.00"
445,Botany Swamps,,f,1,1,f,-33.92362,151.20799,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,0.0,67.0,1,0,2,10,2,2,10,10,2.0,10.0,0,0,0,0,8,4,89.0,10.0,9.0,10.0,10.0,10.0,10.0,f,t,f,flexible,f,f,1,1,0,0,0.34,$75.00
6141,Renovated family home in Rose Bay,,f,1,1,f,-33.871390000000005,151.27581999999998,f,House,Entire home/apt,5,2.5,3.0,4.0,Real Bed,,,,253.0,19.0,1,0,6,30,6,6,30,30,6.0,30.0,10,10,34,242,1,0,100.0,10.0,10.0,10.0,10.0,10.0,6.0,f,t,f,strict_14_with_grace_period,f,f,1,1,0,0,0.06,$790.00
6027,Generous house by beaches & with views,,f,1,1,f,-33.79541,151.26332,t,House,Entire home/apt,9,2.5,4.0,8.0,Real Bed,,,,0.0,41.0,6,18,8,11,8,8,11,11,8.0,11.0,0,0,0,0,2,0,100.0,10.0,8.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.1,$300.00
6399,Camperdown two bedroom apartment with free parking,100%,f,6,6,f,-33.884159999999994,151.18006,t,Apartment,Entire home/apt,3,1.5,2.0,2.0,Real Bed,,,,,,1,0,2,1125,2,2,1125,1125,2.0,1125.0,8,8,8,8,0,0,,,,,,,,f,t,f,flexible,f,f,5,2,3,0,,$110.00
3873,Oatley Forest Room,0%,f,1,1,f,-33.98278,151.08691000000002,f,House,Private room,1,1.0,1.0,1.0,Real Bed,,,,,16.0,1,49,1,1125,1,1,1125,1125,1.0,1125.0,30,60,90,365,0,0,,,,,,,,f,f,f,flexible,f,f,1,0,1,0,,$61.00
1701,3 bedroom semi - very central,100%,f,1,1,f,-33.89395,151.24491,f,House,Entire home/apt,6,1.0,3.0,5.0,Real Bed,,,,,19.0,1,0,4,1125,4,4,1125,1125,4.0,1125.0,0,5,5,181,13,2,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,flexible,f,f,1,1,0,0,0.3,$360.00
2526,PROS - Radiance on Raglan - moments from ferry!,100%,f,11,11,f,-33.836290000000005,151.23535,t,House,Entire home/apt,6,3.0,4.0,6.0,Real Bed,,,,381.0,64.0,1,0,7,1125,7,10,1125,1125,7.7,1125.0,11,11,22,95,0,0,,,,,,,,f,f,f,strict_14_with_grace_period,f,f,11,11,0,0,,$788.00
68,"Prime location, offering basics at buget price",,f,3,3,t,-33.901759999999996,151.17088,t,Bed and breakfast,Private room,3,3.0,1.0,2.0,Real Bed,,,,1091.0,136.0,1,64,3,1125,2,3,1125,1125,2.7,1125.0,28,58,88,363,1,1,80.0,8.0,8.0,10.0,10.0,10.0,8.0,f,f,f,strict_14_with_grace_period,f,f,3,0,3,0,0.13,$55.00
1168,Lakeview Villa,100%,f,2,2,f,-33.70112,151.30383999999998,f,Villa,Entire home/apt,4,1.0,2.0,3.0,Real Bed,,,,0.0,0.0,4,10,1,1125,1,4,1125,1125,1.3,1125.0,26,56,83,288,0,0,,,,,,,,f,t,f,strict_14_with_grace_period,f,f,2,2,0,0,,$241.00
48,Edj 41 - Huge room by the beach,100%,f,2,2,f,-33.94594,151.25355,f,Apartment,Private room,2,1.0,1.0,0.0,Real Bed,,,,0.0,40.0,1,13,1,30,1,1,30,30,1.0,30.0,29,59,89,180,2,1,90.0,10.0,5.0,10.0,10.0,9.0,9.0,f,f,f,moderate,f,f,2,1,1,0,0.05,$75.00
1053,A stylish and well located 2-level loft apartment,100%,t,1,1,f,-33.90678,151.24722,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,411.0,0.0,2,27,2,40,2,7,40,40,2.5,40.0,13,15,45,225,61,34,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,moderate,f,f,1,1,0,0,2.83,$146.00
8610,"Quiet, Nice room in 2 bedroom apartment",,f,1,1,f,-33.80546,151.16539,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,-136.7346939,,,,1,0,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,8,0,98.0,10.0,10.0,10.0,10.0,8.0,10.0,f,f,f,moderate,f,f,1,0,1,0,0.19,$56.00
4032,Alpine Place Villa 31- Sydney Spacious for Groups,100%,f,72,72,f,-33.9434,150.84032,t,House,Entire home/apt,10,2.5,4.0,6.0,Real Bed,,,,333.0,67.0,4,20,2,1125,1,3,1125,1125,1.3,1125.0,27,47,47,146,5,3,88.0,10.0,9.0,10.0,9.0,9.0,8.0,f,t,f,strict_14_with_grace_period,f,f,34,34,0,0,0.22,$225.00
4573,Sunny Apartment in Bondi,,f,1,1,f,-33.892559999999996,151.2623,f,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,3,8,3,3,8,8,3.0,8.0,0,0,0,0,0,0,,,,,,,,f,f,f,flexible,f,f,1,0,1,0,,$61.00
2439,Entire Apt-Bondi Beach Ocean Front,,f,1,1,t,-33.89188,151.27249,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,7.722007722000001,13.12741313,193.0,77.0,1,0,3,60,3,3,60,60,3.0,60.0,0,0,0,0,10,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.18,$259.00
4549,Chic beach home moments from Bondi beach,,f,4,4,t,-33.88928,151.28335,t,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,,,333.0,20.0,2,10,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,5,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,moderate,f,f,3,1,2,0,0.15,$150.00
1467,3 bedroom semi minutes from beach,,f,1,1,f,-33.7922,151.24553,t,House,Entire home/apt,6,3.0,3.0,4.0,Real Bed,,28.28456684,53.145917000000004,80.0,,6,0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,0,0,,,,,,,,f,f,f,flexible,f,f,1,1,0,0,,$249.00
6297,Near Airport PrivateBathroom open balcony +PickUP,100%,t,2,2,t,-33.938520000000004,151.11526,f,Apartment,Private room,4,2.0,1.0,1.0,Real Bed,,,,,16.0,2,12,2,1125,1,2,1125,1125,1.3,1125.0,0,0,0,0,103,57,96.0,10.0,9.0,10.0,10.0,10.0,9.0,f,t,f,moderate,f,f,1,0,1,0,5.18,$85.00
4722,Stylish Inner-City Room & Ensuite,100%,f,2,2,t,-33.86956,151.19118,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,20.0,1,0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,3,0,100.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,f,flexible,f,f,1,0,1,0,0.07,$99.00
2441,"Spacious, Modern & Family Friendly",,f,2,2,f,-33.89819,151.21499,f,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,,,500.0,100.0,4,50,7,33,7,7,33,33,7.0,33.0,0,0,0,0,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,2,1,1,0,0.02,$200.00
5756,Bondi Beach House,,f,2,2,f,-33.89586,151.27168,f,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,,,,6154.0,231.0,1,385,4,14,4,4,14,14,4.0,14.0,30,60,90,181,0,0,,,,,,,,f,t,f,moderate,f,f,2,2,0,0,,$65.00
230,Newland Apartment,,f,1,1,f,-33.89331,151.24735,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,5,6,5,5,6,6,5.0,6.0,0,0,0,0,1,0,,,,,,,,f,f,f,flexible,f,f,1,0,1,0,0.05,$115.00
1320,Practical 1 Bed Apartment at charming Potts Point,,f,1,1,f,-33.872209999999995,151.22428,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,0.0,27.0,3,19,3,30,3,3,30,30,3.0,30.0,0,0,0,0,7,0,80.0,9.0,7.0,8.0,10.0,9.0,7.0,f,t,f,flexible,f,f,1,1,0,0,0.23,$130.00
41,Perfect for Holiday  and Business accomodation,,f,1,1,f,-33.87594,151.20617,f,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,,,48.0,,4,7,2,7,2,2,7,7,2.0,7.0,0,0,0,0,8,0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,f,f,f,flexible,f,f,1,1,0,0,0.26,$419.00
3984,Tranquil Newport Treehouse,,f,1,1,f,-33.64993,151.30628000000002,t,Bungalow,Entire home/apt,7,2.0,3.0,4.0,Real Bed,,,,571.0,43.0,1,0,3,20,3,3,20,20,3.0,20.0,0,0,0,0,3,3,100.0,9.0,10.0,10.0,10.0,10.0,9.0,f,t,f,flexible,f,f,1,1,0,0,0.48,$350.00
8802,Spacious three bedders apartment in Rosebery,100%,f,2,2,f,-33.91372,151.20691000000002,t,Apartment,Entire home/apt,8,2.0,3.0,4.0,Real Bed,,,,279.0,78.0,6,6,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,8,8,75.0,8.0,9.0,10.0,9.0,9.0,8.0,f,t,f,strict_14_with_grace_period,f,f,2,2,0,0,1.28,$179.00
8842,Caringbah Contemporary,,f,1,1,f,-34.05601,151.1271,t,House,Entire home/apt,10,1.5,5.0,6.0,Real Bed,,,,140.0,34.0,10,28,4,14,4,4,14,14,4.0,14.0,0,0,0,191,2,2,80.0,8.0,6.0,10.0,10.0,10.0,9.0,f,f,f,flexible,f,f,1,1,0,0,0.41,$356.00
1729,"Spacious, sunny apartment with separate access",,f,1,1,t,-33.823029999999996,151.12803,t,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,,,,0.0,72.0,1,0,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,0,18,1,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,flexible,f,f,1,1,0,0,0.84,$138.00
2758,Burwood Central Convenient 2 Bed Sunny Apartment,75%,f,27,27,f,-33.8773,151.10177,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,,,333.0,56.0,1,0,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,0,1,1,,,,,,,,f,t,f,moderate,f,f,27,27,0,0,0.14,$180.00
8524,Lilyfield / Rozelle Guest Room ,,f,1,1,t,-33.869820000000004,151.16375,t,House,Private room,2,1.0,1.0,2.0,Real Bed,,,,0.0,0.0,1,0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,2,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,flexible,f,f,1,0,1,0,0.03,$120.00
3616,Sunny apartment,100%,f,1,1,f,-33.95473,151.13773,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,6,12,6,6,12,12,6.0,12.0,0,0,0,17,1,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,flexible,f,f,1,1,0,0,0.39,$81.00
5628,"Master room, ensuite, pool, garage, Bondi beach",100%,f,2,2,t,-33.88503,151.2655,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,2,31,2,2,31,31,2.0,31.0,19,47,77,301,1,1,100.0,10.0,10.0,10.0,10.0,10.0,8.0,f,t,f,flexible,f,f,2,1,1,0,0.58,$75.00
6369,Large newly renovated apartment,,f,1,1,f,-33.889,151.11928999999998,t,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,,,548.0,68.0,3,14,1,20,1,2,20,20,1.3,20.0,0,0,0,0,4,0,95.0,10.0,10.0,9.0,10.0,10.0,9.0,f,f,f,moderate,f,f,1,1,0,0,0.14,$146.00
5234,Trendy Ultimo Apartment,,f,1,1,f,-33.878659999999996,151.1978,t,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,,,,100.0,60.0,1,17,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,4,4,95.0,9.0,8.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.45,$150.00
